checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
< 0 DM,6,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1169,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Real Estate,67,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,48,Existing Credits Paid Back,Radio/TV,5951,<100,1 to 4,2,Female (Div/Sep/Married),none,2,Real Estate,22,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Education,2096,<100,4 to 7,2,Male (Single),none,3,Real Estate,49,none,Own,1,Unskilled Resident,2,None,Yes,Good
< 0 DM,42,Existing Credits Paid Back,Furniture/Equipment,7882,<100,4 to 7,2,Male (Single),guarantor,4,Society Saving/ Life Insurance,45,none,For Free,1,SkilledEmployee/Official,2,None,Yes,Good
< 0 DM,24,Delay in Payment in past,New Car,4870,<100,1 to 4,3,Male (Single),none,4,Unknown/ No property,53,none,For Free,2,SkilledEmployee/Official,2,None,Yes,Bad
No Checking Account,36,Existing Credits Paid Back,Education,9055,Unknown/ No Saving Ac,1 to 4,2,Male (Single),none,4,Unknown/ No property,35,none,For Free,1,Unskilled Resident,2,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Furniture/Equipment,2835,500 - 1000,>=7,3,Male (Single),none,4,Society Saving/ Life Insurance,53,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,Used Car,6948,<100,1 to 4,2,Male (Single),none,2,car or other,35,none,Rent,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Radio/TV,3059,>=1000,4 to 7,2,Male (Div/Sep/Married),none,4,Real Estate,61,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,30,Critical Account/Other Credit Existing(Not this bank),New Car,5234,<100,unemployed,4,Male (Married/Widowed),none,2,car or other,28,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Bad
0 - 20 DM,12,Existing Credits Paid Back,New Car,1295,<100,<1,3,Female (Div/Sep/Married),none,1,car or other,25,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,48,Existing Credits Paid Back,Business,4308,<100,<1,3,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,24,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,1567,<100,1 to 4,1,Female (Div/Sep/Married),none,1,car or other,22,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,24,Critical Account/Other Credit Existing(Not this bank),New Car,1199,<100,>=7,4,Male (Single),none,4,car or other,60,none,Own,2,Unskilled Resident,1,None,Yes,Bad
< 0 DM,15,Existing Credits Paid Back,New Car,1403,<100,1 to 4,2,Female (Div/Sep/Married),none,4,car or other,28,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,24,Existing Credits Paid Back,Radio/TV,1282,100 - 500,1 to 4,4,Female (Div/Sep/Married),none,2,car or other,32,none,Own,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2424,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,53,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,30,No Credits taken/ All Credits Paid,Business,8072,Unknown/ No Saving Ac,<1,2,Male (Single),none,3,car or other,25,Bank,Own,3,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,24,Existing Credits Paid Back,Used Car,12579,<100,>=7,4,Female (Div/Sep/Married),none,2,Unknown/ No property,44,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Radio/TV,3430,500 - 1000,>=7,3,Male (Single),none,2,car or other,31,none,Own,1,SkilledEmployee/Official,2,Yes,Yes,Good
No Checking Account,9,Critical Account/Other Credit Existing(Not this bank),New Car,2134,<100,1 to 4,4,Male (Single),none,4,car or other,48,none,Own,3,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,6,Existing Credits Paid Back,Radio/TV,2647,500 - 1000,1 to 4,2,Male (Single),none,3,Real Estate,44,none,Rent,1,SkilledEmployee/Official,2,None,Yes,Good
< 0 DM,10,Critical Account/Other Credit Existing(Not this bank),New Car,2241,<100,<1,1,Male (Single),none,3,Real Estate,48,none,Rent,2,Unskilled Resident,2,None,No,Good
0 - 20 DM,12,Critical Account/Other Credit Existing(Not this bank),Used Car,1804,100 - 500,<1,3,Male (Single),none,4,Society Saving/ Life Insurance,44,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,10,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2069,Unknown/ No Saving Ac,1 to 4,2,Male (Married/Widowed),none,1,car or other,26,none,Own,2,SkilledEmployee/Official,1,None,No,Good
< 0 DM,6,Existing Credits Paid Back,Furniture/Equipment,1374,<100,1 to 4,1,Male (Single),none,2,Real Estate,36,Bank,Own,1,Unskilled Resident,1,Yes,Yes,Good
No Checking Account,6,No Credits taken/ All Credits Paid,Radio/TV,426,<100,>=7,4,Male (Married/Widowed),none,4,car or other,39,none,Own,1,Unskilled Resident,1,None,Yes,Good
>= 200 DM,12,All Credits Paid (this bank),Radio/TV,409,>=1000,1 to 4,3,Female (Div/Sep/Married),none,3,Real Estate,42,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,7,Existing Credits Paid Back,Radio/TV,2415,<100,1 to 4,3,Male (Single),guarantor,2,Real Estate,34,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
